CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0120,0.83,C0181,0.75,C0091,0.68
C0002,C0159,0.92,C0106,0.88,C0134,0.87
C0003,C0091,0.74,C0148,0.7,C0163,0.69
C0004,C0113,0.92,C0165,0.87,C0104,0.86
C0005,C0007,0.9,C0140,0.73,C0186,0.66
C0006,C0187,0.7,C0169,0.66,C0171,0.64
C0007,C0005,0.9,C0140,0.75,C0128,0.58
C0008,C0098,0.84,C0024,0.82,C0194,0.79
C0009,C0119,0.79,C0198,0.71,C0032,0.68
C0010,C0062,0.85,C0111,0.82,C0135,0.72
C0011,C0107,0.72,C0155,0.71,C0174,0.7
C0012,C0195,0.89,C0039,0.85,C0163,0.78
C0013,C0188,0.93,C0099,0.87,C0087,0.77
C0014,C0097,0.84,C0060,0.8,C0080,0.73
C0015,C0036,0.79,C0131,0.74,C0095,0.68
C0016,C0024,0.74,C0154,0.71,C0067,0.63
C0017,C0075,0.9,C0051,0.83,C0041,0.81
C0018,C0117,0.77,C0026,0.77,C0046,0.64
C0019,C0179,0.8,C0119,0.75,C0121,0.75
C0020,C0130,0.75,C0125,0.69,C0120,0.63
